1898 Philadelphia Phillies	0.52	5.49
1898 Boston Beaneaters	0.671	5.74
1898 Chicago Orphans	0.559	5.45
1898 Pittsburgh Pirates	0.474	4.17
1898 Baltimore Orioles	0.623	6.06
1898 Louisville Colonels	0.455	4.73
1898 St. Louis Browns	0.253	3.71
1898 Washington Senators	0.329	4.54
1898 Cleveland Spiders	0.519	4.68
1898 Cincinnati Reds	0.586	5.29
1898 New York Giants	0.49	5.33
1899 Brooklyn Superbas	0.673	5.95
1899 Baltimore Orioles	0.566	5.44
1899 Chicago Orphans	0.493	5.34
1899 New York Giants	0.395	4.83
1899 Boston Beaneaters	0.621	5.61
1899 Cleveland Spiders	0.13	3.44
1899 Philadelphia Phillies	0.61	5.95
1899 Pittsburgh Pirates	0.494	5.42
1899 Louisville Colonels	0.484	5.34
1899 St. Louis Perfectos	0.542	5.28
1899 Washington Senators	0.348	4.79
1899 Cincinnati Reds	0.532	5.49
1900 Pittsburgh Pirates	0.564	5.24
1900 New York Giants	0.426	5.06
1900 Philadelphia Phillies	0.532	5.74
1900 Brooklyn Superbas	0.577	5.75
1900 Boston Beaneaters	0.465	5.48
1900 St. Louis Cardinals	0.458	5.24
1900 Cincinnati Reds	0.431	4.88
1900 Chicago Orphans	0.445	4.35
1901 Baltimore Orioles	0.504	5.63
1901 Detroit Tigers	0.544	5.45
1901 Chicago White Sox	0.606	5.98
1901 Philadelphia Athletics	0.54	5.88
1901 Brooklyn Superbas	0.577	5.43
1901 Boston Americans	0.572	5.5
1901 Cleveland Blues	0.391	4.83
1901 Washington Senators	0.442	4.94
1901 Milwaukee Brewers	0.345	4.61
1901 Boston Beaneaters	0.493	3.79
1901 Chicago Orphans	0.379	4.13
1901 Philadelphia Phillies	0.593	4.77
1901 Pittsburgh Pirates	0.643	5.54
1901 New York Giants	0.369	3.86
1901 Cincinnati Reds	0.366	3.95
1901 St. Louis Cardinals	0.535	5.58
1902 Cleveland Bronchos	0.504	5.01
1902 Detroit Tigers	0.38	4.13
1902 Philadelphia Athletics	0.606	5.66
1902 Boston Americans	0.558	4.81
1902 Chicago White Sox	0.536	4.89
1902 Washington Senators	0.442	5.12
1902 Philadelphia Phillies	0.406	3.51
1902 New York Giants	0.345	2.88
1902 St. Louis Browns	0.557	4.42
1902 St. Louis Cardinals	0.4	3.69
1902 Baltimore Orioles	0.355	5.07
1902 Brooklyn Superbas	0.532	4
1902 Chicago Orphans	0.482	3.76
1902 Cincinnati Reds	0.496	4.49
1902 Boston Beaneaters	0.514	4.03
1902 Pittsburgh Pirates	0.725	5.46
1903 New York Highlanders	0.529	4.26
1903 Detroit Tigers	0.474	4.14
1903 Philadelphia Athletics	0.547	4.36
1903 Chicago White Sox	0.435	3.74
1903 St. Louis Browns	0.468	3.6
1903 Brooklyn Superbas	0.504	4.8
1903 Chicago Cubs	0.59	5
1903 Philadelphia Phillies	0.353	4.44
1903 St. Louis Cardinals	0.309	3.63
1903 Cleveland Naps	0.55	4.56
1903 Washington Senators	0.307	3.12
1903 Boston Beaneaters	0.414	4.13
1903 Boston Americans	0.645	5.02
1903 Cincinnati Reds	0.525	5.43
1903 Pittsburgh Pirates	0.645	5.62
1903 New York Giants	0.592	5.13
1904 Cleveland Naps	0.558	4.2
1904 Brooklyn Superbas	0.364	3.23
1904 New York Highlanders	0.594	3.86
1904 Philadelphia Athletics	0.523	3.59
1904 Boston Beaneaters	0.355	3.17
1904 Philadelphia Phillies	0.335	3.68
1904 St. Louis Cardinals	0.484	3.88
1904 Chicago White Sox	0.571	3.85
1904 St. Louis Browns	0.417	3.08
1904 Chicago Cubs	0.596	3.84
1904 Pittsburgh Pirates	0.558	4.33
1904 Boston Americans	0.605	3.87
1904 Washington Senators	0.242	2.78
1904 Cincinnati Reds	0.561	4.43
1904 New York Giants	0.671	4.71
1904 Detroit Tigers	0.383	3.12
1905 New York Highlanders	0.467	3.86
1905 Philadelphia Athletics	0.605	4.1
1905 Boston Americans	0.51	3.78
1905 Detroit Tigers	0.513	3.32
1905 Washington Senators	0.416	3.63
1905 St. Louis Cardinals	0.377	3.47
1905 Cleveland Naps	0.49	3.66
1905 Brooklyn Superbas	0.31	3.26
1905 Chicago Cubs	0.594	4.3
1905 Cincinnati Reds	0.51	4.74
1905 New York Giants	0.677	5.03
1905 Philadelphia Phillies	0.535	4.57
1905 Pittsburgh Pirates	0.619	4.46
1905 St. Louis Browns	0.346	3.28
1905 Boston Beaneaters	0.327	3
1905 Chicago White Sox	0.582	3.87
1906 Philadelphia Athletics	0.523	3.77
1906 Detroit Tigers	0.47	3.43
1906 Washington Senators	0.364	3.43
1906 Boston Beaneaters	0.322	2.68
1906 Brooklyn Superbas	0.431	3.24
1906 New York Giants	0.627	4.08
1906 Chicago White Sox	0.604	3.7
1906 St. Louis Browns	0.494	3.62
1906 Philadelphia Phillies	0.461	3.43
1906 Pittsburgh Pirates	0.604	4.05
1906 St. Louis Cardinals	0.338	3.05
1906 Boston Americans	0.316	2.99
1906 New York Highlanders	0.581	4.15
1906 Chicago Cubs	0.748	4.55
1906 Cincinnati Reds	0.413	3.44
1906 Cleveland Naps	0.567	4.22
1907 Philadelphia Phillies	0.557	3.44
1907 Philadelphia Athletics	0.587	3.88
1907 New York Highlanders	0.461	3.98
1907 Boston Doves	0.382	3.3
1907 Detroit Tigers	0.601	4.54
1907 Brooklyn Superbas	0.425	2.92
1907 Washington Senators	0.318	3.29
1907 Boston Americans	0.381	2.99
1907 St. Louis Browns	0.445	3.5
1907 Chicago Cubs	0.69	3.7
1907 New York Giants	0.529	3.7
1907 St. Louis Cardinals	0.335	2.7
1907 Cincinnati Reds	0.423	3.37
1907 Chicago White Sox	0.554	3.75
1907 Pittsburgh Pirates	0.58	4.04
1907 Cleveland Naps	0.538	3.35
1908 Detroit Tigers	0.584	4.2
1908 Brooklyn Superbas	0.344	2.45
1908 St. Louis Cardinals	0.318	2.41
1908 Boston Red Sox	0.484	3.64
1908 New York Highlanders	0.329	2.96
1908 St. Louis Browns	0.535	3.51
1908 Washington Senators	0.432	3.09
1908 Cincinnati Reds	0.471	3.15
1908 Philadelphia Phillies	0.535	3.25
1908 Pittsburgh Pirates	0.632	3.77
1908 Chicago White Sox	0.564	3.44
1908 Boston Doves	0.404	3.44
1908 Cleveland Naps	0.573	3.62
1908 Philadelphia Athletics	0.433	3.1
1908 New York Giants	0.624	4.15
1908 Chicago Cubs	0.627	3.95
1909 Boston Red Sox	0.579	3.93
1909 New York Highlanders	0.484	3.86
1909 Philadelphia Athletics	0.621	3.95
1909 St. Louis Browns	0.396	2.86
1909 Philadelphia Phillies	0.481	3.35
1909 Pittsburgh Pirates	0.714	4.54
1909 St. Louis Cardinals	0.351	3.79
1909 Cleveland Naps	0.458	3.18
1909 Brooklyn Superbas	0.355	2.86
1909 Boston Doves	0.29	2.81
1909 Chicago Cubs	0.671	4.1
1909 Washington Senators	0.269	2.44
1909 Cincinnati Reds	0.49	3.86
1909 Detroit Tigers	0.62	4.22
1909 New York Giants	0.582	3.94
1909 Chicago White Sox	0.491	3.09
1910 St. Louis Cardinals	0.412	4.18
1910 Chicago Cubs	0.675	4.62
1910 Pittsburgh Pirates	0.558	4.25
1910 Detroit Tigers	0.555	4.38
1910 Philadelphia Athletics	0.658	4.34
1910 New York Giants	0.587	4.61
1910 Chicago White Sox	0.436	2.93
1910 New York Highlanders	0.564	4.01
1910 Brooklyn Superbas	0.41	3.19
1910 Cincinnati Reds	0.481	3.97
1910 Washington Senators	0.42	3.19
1910 Boston Doves	0.338	3.15
1910 Philadelphia Phillies	0.497	4.29
1910 Boston Red Sox	0.513	4.04
1910 St. Louis Browns	0.297	2.85
1910 Cleveland Naps	0.441	3.4
1911 Philadelphia Athletics	0.664	5.66
1911 St. Louis Browns	0.296	3.73
1911 Boston Red Sox	0.51	4.44
1911 New York Highlanders	0.497	4.47
1911 Philadelphia Phillies	0.516	4.3
1911 Chicago White Sox	0.5	4.67
1911 Detroit Tigers	0.578	5.4
1911 Washington Senators	0.416	4.06
1911 Brooklyn Dodgers	0.416	3.5
1911 New York Giants	0.643	4.91
1911 Pittsburgh Pirates	0.548	4.8
1911 Cleveland Naps	0.513	4.43
1911 Boston Rustlers	0.282	4.48
1911 Chicago Cubs	0.586	4.82
1911 St. Louis Cardinals	0.475	4.25
1911 Cincinnati Reds	0.44	4.29
1912 Chicago Cubs	0.599	4.97
1912 Philadelphia Phillies	0.48	4.41
1912 Pittsburgh Pirates	0.612	4.94
1912 New York Highlanders	0.327	4.12
1912 Philadelphia Athletics	0.588	5.09
1912 Brooklyn Dodgers	0.379	4.25
1912 St. Louis Cardinals	0.412	4.31
1912 Boston Red Sox	0.682	5.19
1912 Detroit Tigers	0.448	4.68
1912 Washington Senators	0.591	4.54
1912 New York Giants	0.669	5.34
1912 Cleveland Naps	0.484	4.37
1912 Boston Braves	0.335	4.47
1912 Cincinnati Reds	0.484	4.23
1912 St. Louis Browns	0.338	3.52
1912 Chicago White Sox	0.494	4.04
1913 Boston Red Sox	0.523	4.18
1913 Brooklyn Superbas	0.428	3.91
1913 Chicago White Sox	0.51	3.19
1913 Detroit Tigers	0.431	4.08
1913 New York Yankees	0.373	3.46
1913 Philadelphia Athletics	0.627	5.19
1913 St. Louis Cardinals	0.333	3.45
1913 Boston Braves	0.448	4.16
1913 Cleveland Naps	0.555	4.08
1913 St. Louis Browns	0.368	3.41
1913 Washington Senators	0.581	3.85
1913 Chicago Cubs	0.568	4.65
1913 Pittsburgh Pirates	0.503	4.34
1913 Cincinnati Reds	0.41	3.89
1913 New York Giants	0.647	4.38
1913 Philadelphia Phillies	0.553	4.36
1914 Kansas City Packers	0.435	4.18
1914 Pittsburgh Rebels	0.416	3.93
1914 St. Louis Terriers	0.403	3.67
1914 Brooklyn Robins	0.487	4.04
1914 Philadelphia Phillies	0.481	4.23
1914 Buffalo Buffeds	0.516	4
1914 Chicago Cubs	0.5	3.88
1914 New York Giants	0.538	4.31
1914 Chicago White Sox	0.446	3.1
1914 Cleveland Naps	0.325	3.43
1914 Detroit Tigers	0.51	3.92
1914 New York Yankees	0.446	3.42
1914 Brooklyn Tip-Tops	0.49	4.22
1914 Chicago Chi-Feds	0.554	3.96
1914 Indianapolis Hoosiers	0.561	4.85
1914 Cincinnati Reds	0.382	3.38
1914 St. Louis Cardinals	0.516	3.55
1914 Philadelphia Athletics	0.627	4.74
1914 Washington Senators	0.513	3.62
1914 Boston Braves	0.595	4.16
1914 Pittsburgh Pirates	0.437	3.18
1914 Boston Red Sox	0.572	3.7
1914 St. Louis Browns	0.447	3.29
1914 Baltimore Terrapins	0.525	4.03
1915 Brooklyn Tip-Tops	0.458	4.23
1915 Buffalo Blues	0.484	3.75
1915 Kansas City Packers	0.529	3.58
